id	kcat_fwd	kcat_bkwd	mw_fwd	mw_bkwd
PSFLIP_cho	25.0	25.0	85300.0	85300.0
PYRt2r	25.0	25.0	85300.0	85300.0
r1635	25.0	25.0	85300.0	85300.0
r1636	25.0	25.0	85300.0	85300.0
r1637	25.0	25.0	85300.0	85300.0
r1638	25.0	25.0	85300.0	85300.0
r1639	25.0	25.0	85300.0	85300.0
r1640	25.0	25.0	85300.0	85300.0
r1641	25.0	25.0	85300.0	85300.0
r1642	25.0	25.0	85300.0	85300.0
r1643	25.0	25.0	85300.0	85300.0
r1645	25.0	25.0	85300.0	85300.0
r1646	25.0	25.0	85300.0	85300.0
r1648	25.0	25.0	85300.0	85300.0
r1649	25.0	25.0	85300.0	85300.0
r1650	25.0	25.0	85300.0	85300.0
r1651	25.0	25.0	85300.0	85300.0
r1652	25.0	25.0	85300.0	85300.0
r1653	25.0	25.0	85300.0	85300.0
r1654	25.0	25.0	85300.0	85300.0
r1655	25.0	25.0	85300.0	85300.0
r1656	25.0	25.0	85300.0	85300.0
r1657	25.0	25.0	85300.0	85300.0
r1658	25.0	25.0	85300.0	85300.0
r1659	25.0	25.0	85300.0	85300.0
r1660	25.0	25.0	85300.0	85300.0
r1661	25.0	25.0	85300.0	85300.0
r1662	25.0	25.0	85300.0	85300.0
r1664	25.0	25.0	85300.0	85300.0
r1665	25.0	25.0	85300.0	85300.0
r1666	25.0	25.0	85300.0	85300.0
r1667	25.0	25.0	85300.0	85300.0
r1668	25.0	25.0	85300.0	85300.0
r1669	25.0	25.0	85300.0	85300.0
r1670	25.0	25.0	85300.0	85300.0
r1671	25.0	25.0	85300.0	85300.0
r1672	25.0	25.0	85300.0	85300.0
r1673	25.0	25.0	85300.0	85300.0
r1674	25.0	25.0	85300.0	85300.0
r1675	25.0	25.0	85300.0	85300.0
r1676	25.0	25.0	85300.0	85300.0
r1677	25.0	25.0	85300.0	85300.0
r1678	25.0	25.0	85300.0	85300.0
r1679	25.0	25.0	85300.0	85300.0
r1680	25.0	25.0	85300.0	85300.0
r1681	25.0	25.0	85300.0	85300.0
r1682	25.0	25.0	85300.0	85300.0
r1683	25.0	25.0	85300.0	85300.0
r1684	25.0	25.0	85300.0	85300.0
r1685	25.0	25.0	85300.0	85300.0
r1686	25.0	25.0	85300.0	85300.0
r1687	25.0	25.0	85300.0	85300.0
r1690	25.0	25.0	85300.0	85300.0
r1691	25.0	25.0	85300.0	85300.0
r1692	25.0	25.0	85300.0	85300.0
r1693	25.0	25.0	85300.0	85300.0
r1695	25.0	25.0	85300.0	85300.0
r1696	25.0	25.0	85300.0	85300.0
r1698	25.0	25.0	85300.0	85300.0
r1700	25.0	25.0	85300.0	85300.0
r1701	25.0	25.0	85300.0	85300.0
r1702	25.0	25.0	85300.0	85300.0
r1705	25.0	25.0	85300.0	85300.0
r1706	25.0	25.0	85300.0	85300.0
r1707	25.0	25.0	85300.0	85300.0
r1708	25.0	25.0	85300.0	85300.0
r1710	25.0	25.0	85300.0	85300.0
r1711	25.0	25.0	85300.0	85300.0
r1713	25.0	25.0	85300.0	85300.0
r1715	25.0	25.0	85300.0	85300.0
r1716	25.0	25.0	85300.0	85300.0
r1717	25.0	25.0	85300.0	85300.0
r1720	25.0	25.0	85300.0	85300.0
r1721	25.0	25.0	85300.0	85300.0
r1722	25.0	25.0	85300.0	85300.0
r1723	25.0	25.0	85300.0	85300.0
r1725	25.0	25.0	85300.0	85300.0
r1726	25.0	25.0	85300.0	85300.0
r1728	25.0	25.0	85300.0	85300.0
r1730	25.0	25.0	85300.0	85300.0
r1731	25.0	25.0	85300.0	85300.0
r1732	25.0	25.0	85300.0	85300.0
r1733	25.0	25.0	85300.0	85300.0
r1734	25.0	25.0	85300.0	85300.0
r1735	25.0	25.0	85300.0	85300.0
r1736	25.0	25.0	85300.0	85300.0
r1737	25.0	25.0	85300.0	85300.0
r1738	25.0	25.0	85300.0	85300.0
r1739	25.0	25.0	85300.0	85300.0
r1740	25.0	25.0	85300.0	85300.0
r1741	25.0	25.0	85300.0	85300.0
r1742	25.0	25.0	85300.0	85300.0
r1743	25.0	25.0	85300.0	85300.0
r1744	25.0	25.0	85300.0	85300.0
r1745	25.0	25.0	85300.0	85300.0
r1746	25.0	25.0	85300.0	85300.0
r1747	25.0	25.0	85300.0	85300.0
r1748	25.0	25.0	85300.0	85300.0
r1749	25.0	25.0	85300.0	85300.0
r1750	25.0	25.0	85300.0	85300.0
r1751	25.0	25.0	85300.0	85300.0
r1752	25.0	25.0	85300.0	85300.0
r1753	25.0	25.0	85300.0	85300.0
r1754	25.0	25.0	85300.0	85300.0
r1755	25.0	25.0	85300.0	85300.0
r1756	25.0	25.0	85300.0	85300.0
r1757	25.0	25.0	85300.0	85300.0
r1758	25.0	25.0	85300.0	85300.0
r1759	25.0	25.0	85300.0	85300.0
r1760	25.0	25.0	85300.0	85300.0
r1761	25.0	25.0	85300.0	85300.0
r1762	25.0	25.0	85300.0	85300.0
r1763	25.0	25.0	85300.0	85300.0
r1764	25.0	25.0	85300.0	85300.0
r1765	25.0	25.0	85300.0	85300.0
r1766	25.0	25.0	85300.0	85300.0
r1767	25.0	25.0	85300.0	85300.0
r1768	25.0	25.0	85300.0	85300.0
r1769	25.0	25.0	85300.0	85300.0
r1770	25.0	25.0	85300.0	85300.0
r1771	25.0	25.0	85300.0	85300.0
r1772	25.0	25.0	85300.0	85300.0
r1773	25.0	25.0	85300.0	85300.0
r1774	25.0	25.0	85300.0	85300.0
r1775	25.0	25.0	85300.0	85300.0
r1776	25.0	25.0	85300.0	85300.0
r1777	25.0	25.0	85300.0	85300.0
r1778	25.0	25.0	85300.0	85300.0
r1779	25.0	25.0	85300.0	85300.0
r1780	25.0	25.0	85300.0	85300.0
r1781	25.0	25.0	85300.0	85300.0
r1782	25.0	25.0	85300.0	85300.0
r1783	25.0	25.0	85300.0	85300.0
r1784	25.0	25.0	85300.0	85300.0
r1785	25.0	25.0	85300.0	85300.0
r1786	25.0	25.0	85300.0	85300.0
r1787	25.0	25.0	85300.0	85300.0
r1788	25.0	25.0	85300.0	85300.0
r1789	25.0	25.0	85300.0	85300.0
r1790	25.0	25.0	85300.0	85300.0
r1791	25.0	25.0	85300.0	85300.0
r1792	25.0	25.0	85300.0	85300.0
r1796	25.0	25.0	85300.0	85300.0
r1797	25.0	25.0	85300.0	85300.0
r1798	25.0	25.0	85300.0	85300.0
r1799	25.0	25.0	85300.0	85300.0
r1800	25.0	25.0	85300.0	85300.0
r1801	25.0	25.0	85300.0	85300.0
r1803	25.0	25.0	85300.0	85300.0
r1805	25.0	25.0	85300.0	85300.0
r1806	25.0	25.0	85300.0	85300.0
r1807	25.0	25.0	85300.0	85300.0
r1808	25.0	25.0	85300.0	85300.0
r1809	25.0	25.0	85300.0	85300.0
r1810	25.0	25.0	85300.0	85300.0
r1811	25.0	25.0	85300.0	85300.0
r1812	25.0	25.0	85300.0	85300.0
r1813	25.0	25.0	85300.0	85300.0
r1814	25.0	25.0	85300.0	85300.0
r1815	25.0	25.0	85300.0	85300.0
r1816	25.0	25.0	85300.0	85300.0
r1817	25.0	25.0	85300.0	85300.0
r1818	25.0	25.0	85300.0	85300.0
r1819	25.0	25.0	85300.0	85300.0
r1820	25.0	25.0	85300.0	85300.0
r1821	25.0	25.0	85300.0	85300.0
r1822	25.0	25.0	85300.0	85300.0
r1823	25.0	25.0	85300.0	85300.0
r1824	25.0	25.0	85300.0	85300.0
r1825	25.0	25.0	85300.0	85300.0
r1826	25.0	25.0	85300.0	85300.0
r1827	25.0	25.0	85300.0	85300.0
r1828	25.0	25.0	85300.0	85300.0
r1829	25.0	25.0	85300.0	85300.0
r1830	25.0	25.0	85300.0	85300.0
r1831	25.0	25.0	85300.0	85300.0
r1832	25.0	25.0	85300.0	85300.0
r1833	25.0	25.0	85300.0	85300.0
r1834	25.0	25.0	85300.0	85300.0
r1835	25.0	25.0	85300.0	85300.0
r1836	25.0	25.0	85300.0	85300.0
r1837	25.0	25.0	85300.0	85300.0
r1841	25.0	25.0	85300.0	85300.0
r1842	25.0	25.0	85300.0	85300.0
r1843	25.0	25.0	85300.0	85300.0
r1844	25.0	25.0	85300.0	85300.0
r1846	25.0	25.0	85300.0	85300.0
r1847	25.0	25.0	85300.0	85300.0
r1848	25.0	25.0	85300.0	85300.0
r1850	25.0	25.0	85300.0	85300.0
r1851	25.0	25.0	85300.0	85300.0
r1852	25.0	25.0	85300.0	85300.0
r1853	25.0	25.0	85300.0	85300.0
r1854	25.0	25.0	85300.0	85300.0
r1855	25.0	25.0	85300.0	85300.0
r1856	25.0	25.0	85300.0	85300.0
r1857	25.0	25.0	85300.0	85300.0
r1858	25.0	25.0	85300.0	85300.0
r1859	25.0	25.0	85300.0	85300.0
r1860	25.0	25.0	85300.0	85300.0
r1861	25.0	25.0	85300.0	85300.0
r1862	25.0	25.0	85300.0	85300.0
r1863	25.0	25.0	85300.0	85300.0
r1864	25.0	25.0	85300.0	85300.0
r1865	25.0	25.0	85300.0	85300.0
r1866	25.0	25.0	85300.0	85300.0
r1867	25.0	25.0	85300.0	85300.0
r1871	25.0	25.0	85300.0	85300.0
r1872	25.0	25.0	85300.0	85300.0
r1873	25.0	25.0	85300.0	85300.0
r1874	25.0	25.0	85300.0	85300.0
r1876	25.0	25.0	85300.0	85300.0
r1877	25.0	25.0	85300.0	85300.0
r1879	25.0	25.0	85300.0	85300.0
r1880	25.0	25.0	85300.0	85300.0
r1881	25.0	25.0	85300.0	85300.0
r1882	25.0	25.0	85300.0	85300.0
r1883	25.0	25.0	85300.0	85300.0
r1884	25.0	25.0	85300.0	85300.0
r1885	25.0	25.0	85300.0	85300.0
r1886	25.0	25.0	85300.0	85300.0
r1887	25.0	25.0	85300.0	85300.0
r1888	25.0	25.0	85300.0	85300.0
r1889	25.0	25.0	85300.0	85300.0
r1890	25.0	25.0	85300.0	85300.0
r1891	25.0	25.0	85300.0	85300.0
r1892	25.0	25.0	85300.0	85300.0
r1893	25.0	25.0	85300.0	85300.0
r1894	25.0	25.0	85300.0	85300.0
r1895	25.0	25.0	85300.0	85300.0
r1896	25.0	25.0	85300.0	85300.0
r1897	25.0	25.0	85300.0	85300.0
r1898	25.0	25.0	85300.0	85300.0
r1899	25.0	25.0	85300.0	85300.0
r1900	25.0	25.0	85300.0	85300.0
r1901	25.0	25.0	85300.0	85300.0
r1902	25.0	25.0	85300.0	85300.0
r1903	25.0	25.0	85300.0	85300.0
r1904	25.0	25.0	85300.0	85300.0
r1905	25.0	25.0	85300.0	85300.0
r1906	25.0	25.0	85300.0	85300.0
r1907	25.0	25.0	85300.0	85300.0
r1908	25.0	25.0	85300.0	85300.0
r1909	25.0	25.0	85300.0	85300.0
r1910	25.0	25.0	85300.0	85300.0
r1911	25.0	25.0	85300.0	85300.0
r1912	25.0	25.0	85300.0	85300.0
r1913	25.0	25.0	85300.0	85300.0
r1914	25.0	25.0	85300.0	85300.0
r1915	25.0	25.0	85300.0	85300.0
r1916	25.0	25.0	85300.0	85300.0
r1917	25.0	25.0	85300.0	85300.0
r1918	25.0	25.0	85300.0	85300.0
r1919	25.0	25.0	85300.0	85300.0
r1920	25.0	25.0	85300.0	85300.0
r1921	25.0	25.0	85300.0	85300.0
r1922	25.0	25.0	85300.0	85300.0
r1923	25.0	25.0	85300.0	85300.0
r1924	25.0	25.0	85300.0	85300.0
r1925	25.0	25.0	85300.0	85300.0
r1926	25.0	25.0	85300.0	85300.0
r1928	25.0	25.0	85300.0	85300.0
r1929	25.0	25.0	85300.0	85300.0
r1930	25.0	25.0	85300.0	85300.0
r1931	25.0	25.0	85300.0	85300.0
r1932	25.0	25.0	85300.0	85300.0
r1933	25.0	25.0	85300.0	85300.0
r1934	25.0	25.0	85300.0	85300.0
r1935	25.0	25.0	85300.0	85300.0
r1936	25.0	25.0	85300.0	85300.0
r1937	25.0	25.0	85300.0	85300.0
r1938	25.0	25.0	85300.0	85300.0
r1939	25.0	25.0	85300.0	85300.0
r1940	25.0	25.0	85300.0	85300.0
r1941	25.0	25.0	85300.0	85300.0
r1942	25.0	25.0	85300.0	85300.0
r1943	25.0	25.0	85300.0	85300.0
r1944	25.0	25.0	85300.0	85300.0
r1945	25.0	25.0	85300.0	85300.0
r1946	25.0	25.0	85300.0	85300.0
r1947	25.0	25.0	85300.0	85300.0
r1948	25.0	25.0	85300.0	85300.0
r1949	25.0	25.0	85300.0	85300.0
r1950	25.0	25.0	85300.0	85300.0
r1951	25.0	25.0	85300.0	85300.0
r1952	25.0	25.0	85300.0	85300.0
r1953	25.0	25.0	85300.0	85300.0
r1954	25.0	25.0	85300.0	85300.0
r1955	25.0	25.0	85300.0	85300.0
r1956	25.0	25.0	85300.0	85300.0
r1957	25.0	25.0	85300.0	85300.0
r1958	25.0	25.0	85300.0	85300.0
r1959	25.0	25.0	85300.0	85300.0
r1960	25.0	25.0	85300.0	85300.0
r1961	25.0	25.0	85300.0	85300.0
r1962	25.0	25.0	85300.0	85300.0
r1963	25.0	25.0	85300.0	85300.0
r1964	25.0	25.0	85300.0	85300.0
r1965	25.0	25.0	85300.0	85300.0
r1966	25.0	25.0	85300.0	85300.0
r1967	25.0	25.0	85300.0	85300.0
r1968	25.0	25.0	85300.0	85300.0
r1969	25.0	25.0	85300.0	85300.0
r1970	25.0	25.0	85300.0	85300.0
r1971	25.0	25.0	85300.0	85300.0
r1972	25.0	25.0	85300.0	85300.0
r1973	25.0	25.0	85300.0	85300.0
r1974	25.0	25.0	85300.0	85300.0
r1975	25.0	25.0	85300.0	85300.0
r1976	25.0	25.0	85300.0	85300.0
r1977	25.0	25.0	85300.0	85300.0
r1978	25.0	25.0	85300.0	85300.0
r1979	25.0	25.0	85300.0	85300.0
r1980	25.0	25.0	85300.0	85300.0
r1981	25.0	25.0	85300.0	85300.0
r1982	25.0	25.0	85300.0	85300.0
r1983	25.0	25.0	85300.0	85300.0
r1984	25.0	25.0	85300.0	85300.0
r1985	25.0	25.0	85300.0	85300.0
r1986	25.0	25.0	85300.0	85300.0
r1987	25.0	25.0	85300.0	85300.0
r1988	25.0	25.0	85300.0	85300.0
r1989	25.0	25.0	85300.0	85300.0
r1990	25.0	25.0	85300.0	85300.0
r1991	25.0	25.0	85300.0	85300.0
r1992	25.0	25.0	85300.0	85300.0
r1993	25.0	25.0	85300.0	85300.0
r1994	25.0	25.0	85300.0	85300.0
r1995	25.0	25.0	85300.0	85300.0
r1996	25.0	25.0	85300.0	85300.0
r1997	25.0	25.0	85300.0	85300.0
r1998	25.0	25.0	85300.0	85300.0
r1999	25.0	25.0	85300.0	85300.0
r2000	25.0	25.0	85300.0	85300.0
r2001	25.0	25.0	85300.0	85300.0
r2002	25.0	25.0	85300.0	85300.0
r2003	25.0	25.0	85300.0	85300.0
r2004	25.0	25.0	85300.0	85300.0
r2005	25.0	25.0	85300.0	85300.0
r2006	25.0	25.0	85300.0	85300.0
r2007	25.0	25.0	85300.0	85300.0
r2008	25.0	25.0	85300.0	85300.0
r2009	25.0	25.0	85300.0	85300.0
r2010	25.0	25.0	85300.0	85300.0
r2011	25.0	25.0	85300.0	85300.0
r2012	25.0	25.0	85300.0	85300.0
r2013	25.0	25.0	85300.0	85300.0
r2014	25.0	25.0	85300.0	85300.0
r2015	25.0	25.0	85300.0	85300.0
r2016	25.0	25.0	85300.0	85300.0
r2017	25.0	25.0	85300.0	85300.0
r2018	25.0	25.0	85300.0	85300.0
r2019	25.0	25.0	85300.0	85300.0
r2020	25.0	25.0	85300.0	85300.0
r2021	25.0	25.0	85300.0	85300.0
r2022	25.0	25.0	85300.0	85300.0
r2023	25.0	25.0	85300.0	85300.0
r2024	25.0	25.0	85300.0	85300.0
r2026	25.0	25.0	85300.0	85300.0
r2027	25.0	25.0	85300.0	85300.0
r2028	25.0	25.0	85300.0	85300.0
r2029	25.0	25.0	85300.0	85300.0
r2030	25.0	25.0	85300.0	85300.0
r2031	25.0	25.0	85300.0	85300.0
r2032	25.0	25.0	85300.0	85300.0
r2034	25.0	25.0	85300.0	85300.0
r2035	25.0	25.0	85300.0	85300.0
r2036	25.0	25.0	85300.0	85300.0
r2037	25.0	25.0	85300.0	85300.0
r2038	25.0	25.0	85300.0	85300.0
r2039	25.0	25.0	85300.0	85300.0
r2040	25.0	25.0	85300.0	85300.0
r2041	25.0	25.0	85300.0	85300.0
r2042	25.0	25.0	85300.0	85300.0
r2043	25.0	25.0	85300.0	85300.0
r2044	25.0	25.0	85300.0	85300.0
r2045	25.0	25.0	85300.0	85300.0
r2046	25.0	25.0	85300.0	85300.0
r2047	25.0	25.0	85300.0	85300.0
r2048	25.0	25.0	85300.0	85300.0
r2049	25.0	25.0	85300.0	85300.0
r2050	25.0	25.0	85300.0	85300.0
r2051	25.0	25.0	85300.0	85300.0
r2052	25.0	25.0	85300.0	85300.0
r2053	25.0	25.0	85300.0	85300.0
r2054	25.0	25.0	85300.0	85300.0
r2055	25.0	25.0	85300.0	85300.0
r2056	25.0	25.0	85300.0	85300.0
r2057	25.0	25.0	85300.0	85300.0
r2058	25.0	25.0	85300.0	85300.0
r2059	25.0	25.0	85300.0	85300.0
r2060	25.0	25.0	85300.0	85300.0
r2061	25.0	25.0	85300.0	85300.0
r2062	25.0	25.0	85300.0	85300.0
r2063	25.0	25.0	85300.0	85300.0
r2064	25.0	25.0	85300.0	85300.0
r2065	25.0	25.0	85300.0	85300.0
r2066	25.0	25.0	85300.0	85300.0
r2067	25.0	25.0	85300.0	85300.0
r2068	25.0	25.0	85300.0	85300.0
r2069	25.0	25.0	85300.0	85300.0
r2070	25.0	25.0	85300.0	85300.0
r2071	25.0	25.0	85300.0	85300.0
SERALANaEx	25.0	25.0	85300.0	85300.0
SERASNNaEx	25.0	25.0	85300.0	85300.0
SERCYSNaEx	25.0	25.0	85300.0	85300.0
SERGLNNaEx	25.0	25.0	85300.0	85300.0
SERt4	25.0	25.0	85300.0	85300.0
SERTHRNaEx	25.0	25.0	85300.0	85300.0
SO4CLtex	25.0	25.0	85300.0	85300.0
SO4HCOtex	25.0	25.0	85300.0	85300.0
SO4OXAtex2	25.0	25.0	85300.0	85300.0
SUCCt4_3	25.0	25.0	85300.0	85300.0
TAUBETAtc	25.0	25.0	85300.0	85300.0
TCHOLAt	25.0	25.0	85300.0	85300.0
THMMPt4	25.0	25.0	85300.0	85300.0
THMt3	25.0	25.0	85300.0	85300.0
THMTPt	25.0	25.0	85300.0	85300.0
THRALANaEx	25.0	25.0	85300.0	85300.0
THRASNNaEx	25.0	25.0	85300.0	85300.0
THRCYSNaEx	25.0	25.0	85300.0	85300.0
THRGLNNaEx	25.0	25.0	85300.0	85300.0
THRSERNaEx	25.0	25.0	85300.0	85300.0
THRt4	25.0	25.0	85300.0	85300.0
THYMDt1	25.0	25.0	85300.0	85300.0
THYMt	25.0	25.0	85300.0	85300.0
TRIODTHYt	25.0	25.0	85300.0	85300.0
TRPt4	25.0	25.0	85300.0	85300.0
TTDCAtr	25.0	25.0	85300.0	85300.0
TYRt4	25.0	25.0	85300.0	85300.0
URAt	25.0	25.0	85300.0	85300.0
UREAt	25.0	25.0	85300.0	85300.0
VALLAT1tc	25.0	25.0	85300.0	85300.0
VALt4	25.0	25.0	85300.0	85300.0
VALtec	25.0	25.0	85300.0	85300.0
HCO3E	25.0	25.0	85300.0	85300.0
HCO3Em	25.0	25.0	85300.0	85300.0
P5CRx	55.0	55.0	370000.0	370000.0
DASCBR	150.0	150.0	50000.0	50000.0
GTHDH	25.0	25.0	27000.0	27000.0
HSD17B42x_cho	25.0	25.0	85300.0	85300.0
HSD17B4x_cho	25.0	25.0	85300.0	85300.0
r0743	25.0	25.0	85300.0	85300.0
RE1834C	25.0	25.0	85300.0	85300.0
RE1835C	25.0	25.0	85300.0	85300.0
